Sutra krama सू. क्र. सं,Akaaraadi krama अकारादि क्र. सं,Kaumudi krama कौमुदी क्र. सं,Sutra type सूत्रलक्षणम्‌,Term संज्ञा,Sutra text सूत्रम्‌,PadacCheda पद्च्छेदः
31084,1455,3432,,,छन्दसि शायजपि ।,छन्दसि ७/१ शायच् १/१ अपि ०/०
31085,3322,3433,,,व्यत्ययो बहुलम् ।,व्यत्ययः १/१ बहुलम् १/१
31086,2987,3434,,,लिङ्याशिष्यङ् ।,लिङि ७/१ आशिषि ७/१ अङ् १/१
31087,1026,2766,अतिदेशः,,कर्मवत्‌ कर्मणा तुल्यक्रियः ।,कर्मवत् ०/० कर्मणा ३/१ तुल्यक्रियः १/१
31088,1666,2771,,,तपस्तपःकर्मकस्यैव ।,तपः ६/१ तपःकर्मकस्य ६/१ एव ०/०
31089,2031,2767,,,न दुहस्नुनमां यक्चिणौ ।,न ०/० दुहस्नुनमाम् ६/३ यक्चिणौ १/२
31090,1126,2772,,,कुषिरजोः प्राचां श्यन् परस्मैपदं च ।,कुषिरजोः ६/२ प्राचाम् ६/३ श्यन् १/१ परस्मैपदम् १/१ च ०/०
31091,1996,2829,अधिकारः,,धातोः ।,धातोः ५/१
31092,1622,781,संज्ञा,उपपदम्‌,तत्रोपपदं सप्तमीस्थम्‌ ।,तत्र ०/० उपपदम् १/१ सप्तमीस्थम् १/१
31093,1154,374,संज्ञा,कृत्‌,कृदतिङ् ।,कृत् १/१ अतिङ् १/१
31094,3133,2830,परिभाषा,,वाऽसरूपोऽस्त्रियाम् ।,वा ०/० असरूपः १/१ अस्त्रियाम् ७/१
31095,1146,2831,संज्ञा,कृत्यः,कृत्याः प्राङ् ण्वुलः ।,कृत्याः १/३ (? प्राङ् ण्वुलः १/१ )
31096,1678,2834,,,तव्यत्तव्यानीयरः ।,तव्यत्तव्यानीयरः १/३
31097,55,2842,,,अचो यत्‌ ।,अचः ५/१ यत् १/१
31098,2441,2844,,,पोरदुपधात्‌ ।,पोः ५/१ अदुपधात् ५/१
31099,3347,2847,,,शकिसहोश्च ।,शकिसहोः ६/२ च ०/०
31100,1268,2848,,,गदमदचरयमश्चानुपसर्गे ।,गदमदचरयमः ५/१ च ०/० अनुपसर्गे ७/१
31101,379,2849,,,अवद्यपण्यवर्या गर्ह्यपणितव्यानिरोधेषु ।,अवद्यपण्यवर्याः १/३ गर्ह्यपणितव्यानिरोधेषु ७/३
31102,3099,2850,,,वह्यं करणम्‌ ।,वह्यम् १/१ करणम् १/१
31103,360,2851,,,अर्यः स्वामिवैश्ययोः ।,अर्यः १/१ स्वामिवैश्ययोः ७/२
31104,796,2852,,,उपसर्या काल्या प्रजने ।,उपसर्या १/१ काल्या १/१ प्रजने ७/१
31105,62,2853,,,अजर्यं संगतम्‌ ।,अजर्यम् १/१ संगतम् १/१
31106,3053,2854,,,वदः सुपि क्यप् च ।,वदः ५/१ सुपि ७/१ क्यप् १/१ च ०/०
31107,2688,2855,,,भुवो भावे ।,भुवः ५/१ भावे ७/१
31108,3899,2856,,,हनस्त च ।,हनः ६/१ त (लुप्तप्रथमान्तनिर्देशः) च ०/०
31109,913,2857,,,एतिस्तुशस्वृदृजुषः क्यप्‌ ।,एतिस्तुशास्वृदृजुषः ५/१ क्यप् १/१
31110,866,2859,,,ऋदुपधाच्चाकॢपिचृतेः ।,ऋदुपधात् ५/१ च ०/० अकॢपिचृतेः ५/१
31111,673,2860,,,ई च खनः ।,ई (लुप्तप्रथमान्तनिर्देशः) च ०/० खनः ५/१
31112,2698,2861,,,भृञोऽसंज्ञायाम् ।,भृञः ५/१ असंज्ञायाम् ७/१
31113,2793,2862,,,मृजेर्विभाषा ।,मृजेः ५/१ विभाषा १/१
31114,2921,2865,,,राजसूयसूर्यमृषोद्यरुच्यकुप्यकृष्टपच्याव्यथ्याः,राजसूयसूर्यमृषोद्यरुच्यकुप्यकृष्टपच्याव्यथ्याः १/३
31115,2671,2866,,,भिद्योद्ध्यौ नदे ।,भिद्योद्ध्यौ १/२ नदे ७/१
31116,2402,2867,,,पुष्यसिद्ध्यौ नक्षत्रे ।,पुष्यसिद्ध्यौ १/२ नक्षत्रे ७/१
31117,3176,2868,,,विपूयविनीयजित्या मुञ्जकल्कहलिषु ।,विपूयविनीयजित्या १/३ मुञ्जकल्कहलिषु ७/३
31118,2475,2869,,,प्रत्यपिभ्यां ग्रहेश्छन्दसि ।,प्रत्यपिभ्याम् ५/२ ग्रहेः ७/१ (छन्दसि ७/१)
31119,2290,2870,,,पदास्वैरिबाह्यापक्ष्येषु च ।,पदास्वैरिबाह्यापक्ष्येषु ७/३ च ०/०
31120,3190,2871,,,विभाषा कृवृषोः ।,विभाषा १/१ कृवृषोः ६/२
31121,2866,2873,,,युग्यं च पत्त्रे ।,युग्यम् १/१ च ०/० पत्रे ७/१
31122,327,2874,,,अमावस्यदन्यतरस्याम् ।,अमावस्यत् १/१ अन्यतरस्याम् ०/०
31123,1447,3407,,,छन्दसि निष्टर्क्यदेवहूयप्रणीयोन्नीयोच्छिष्य,छन्दसि ७/१ निष्टर्क्यदेवहूयप्रणीयोन्नीयोच्छिष्यमर्यस्तर्याध्वर्यखन्यखान्यदेवयज्याऽऽपृच्छ्यप्रतिषीव्यब्रह्मवाद्यभाव्यस्ताव्योपचाय्यपृडानि १/३
31124,874,2872,,,ऋहलोर्ण्यत्‌ ।,ऋहलोः ६/२ ण्यत् १/१
31125,942,2886,,,ओरावश्यके ।,ओः ५/१ आवश्यके ७/१
31126,587,2887,,,आसुयुवपिरपिलपित्रपिचमश्च ।,आसुयुवपिरपिलपित्रपिचमः ५/१ च ०/०
