Sutra krama सू. क्र. सं,Akaaraadi krama अकारादि क्र. सं,Kaumudi krama कौमुदी क्र. सं,Sutra type सूत्रलक्षणम्‌,Term संज्ञा,Sutra text सूत्रम्‌,PadacCheda पद्च्छेदः
62134,1427,3868,,,चूर्णादीन्यप्राणिषष्ठ्याः ।,चूर्णादीनि १/३ अप्राणिषष्ठ्याः ५/१
62135,3471,3869,,,षट् च काण्डादीनि ।,षट् १/३ च ०/० काण्डादीनि १/३
62136,1101,3870,,,कुण्डं वनम् ।,कुण्डम् १/१ वनम् १/१
62137,2448,3871,,,प्रकृत्या भगालम् ।,प्रकृत्या ३/१ भगालम् १/१
62138,3395,3872,,,शितेर्नित्याबह्वज्बहुव्रीहावभसत्‌ ।,शितेः ५/१ नित्याबह्वव्च् १/१ बहुव्रीहौ ७/१ अभसत् १/१
62139,1259,3873,,,गतिकारकोपपदात्‌ कृत्‌ ।,गतिकारकोपपदात् ५/१ कृत् १/१
62140,814,3874,,,उभे वनस्पत्यादिषु युगपत्‌ ।,उभे १/२ वनस्पत्यादिषु ७/३ युगपत् १/१
62141,1908,3875,,,देवताद्वंद्वे च ।,देवताद्वन्द्वे ७/१ च ०/०
62142,2238,3876,,,नोत्तरपदेऽनुदात्तादावपृथिवीरुद्रपूषमन्थिषु ।,न ०/० उत्तरपदे ७/१ अनुदात्तादौ ७/१ अपृथिवीरुद्रपूषमन्थिषु ७/३
62143,236,3877,अधिकारः,,अन्तः ।,अन्तः १/१
62144,1819,3878,,,थाथघञ्क्ताजबित्रकाणाम् ।,थाथघञ्क्ताजबित्रकाणाम् ६/३
62145,3777,3879,,,सूपमानात्‌ क्तः ।,सूपमानात् ५/१ क्तः १/१
62146,3544,3880,,,संज्ञायामनाचितादीनाम्‌ ।,संज्ञायाम् ७/१ अनाचितादीनाम् ६/३
62147,2502,3881,,,प्रवृद्धादीनां च ।,प्रवृद्धादीनाम् ६/३ च ०/०
62148,1052,3882,,,कारकाद्दत्तश्रुतयोरेवाशिषि ।,कारकात् ५/१ दत्तश्रुतयोः ६/२ एव ०/० आशिषि ७/१
62149,637,3883,,,इत्थम्भूतेन कृतमिति च ।,इत्थम्भूतेन ३/१ कृतम् १/१ इति ०/० च ०/०
62150,229,3884,,,अनो भावकर्मवचनः ।,अनः १/१ भावकर्मवचनः १/१
62151,2739,3885,,,मन्क्तिन्व्याख्यानशयनासनस्थानयाजकादिक्रीताः ।,मन्क्तिन्व्याख्यानशयनासनस्थानयाजकादिक्रीताः १/३
62152,3614,3886,,,सप्तम्याः पुण्यम् ।,सप्तम्याः ५/१ पुण्यम् १/१
62153,837,3887,,,ऊनार्थकलहं तृतीयायाः ।,ऊनार्थकलहम् १/१ तृतीयायाः ५/१
62154,2783,3888,,,मिश्रं चानुपसर्गमसंधौ ।,मिश्रम् १/१ च ०/० अनुपसर्गम् १/१ असन्धौ ७/१
62155,2093,3889,,,नञो गुणप्रतिषेधे सम्पाद्यर्हहितालमर्थास्तद्धिताः ।,नञः ५/१ गुणप्रतिषेधे ७/१ सम्पाद्यर्हहितालमर्थाः १/३ तद्धिताः १/३
62156,2840,3890,,,ययतोश्चातदर्थे ।,ययतोः ६/२ च ०/० अतदर्थे ७/१
62157,59,3891,,,अच्कावशक्तौ ।,अच्कौ १/२ अशक्तौ ७/१
62158,465,3892,,,आक्रोशे च ।,आक्रोशे ७/१ च ०/०
62159,3551,3893,,,संज्ञायाम् ।,संज्ञायाम् ७/१
62160,1152,3894,,,कृत्योकेष्णुच्चार्वादयश्च ।,कृत्योकेष्णुच्चार्वादयः १/३ च ०/०
62161,3205,3895,,,विभाषा तृन्नन्नतीक्ष्णशुचिषु ।,विभाषा १/१ तृन्नन्नतीक्ष्णशुचिषु ७/३
62162,2601,3896,,,बहुव्रीहाविदमेतत्तद्भ्यः प्रथमपूरणयोः क्रियागणने ।,बहुव्रीहौ ७/१ इदमेतत्तद्‍भ्यः ५/३ प्रथमपूरणयोः ६/२ क्रियागणने ७/१
62163,3518,3897,,,संख्यायाः स्तनः ।,संख्यायाः ६/१ स्तनः १/१
62164,3200,3898,,,विभाषा छन्दसि ।,विभाषा १/१ छन्दसि ७/१
62165,3539,3899,,,संज्ञायां मित्राजिनयोः ।,संज्ञायाम् ७/१ मित्राजिनयोः ६/२
62166,3328,3900,,,व्यवायिनोऽन्तरम् ।,व्यवायिनः ५/१ अन्तरम् १/१
62167,2786,3901,,,मुखं स्वाङ्गम् ।,मुखम् १/१ स्वाङ्गम् १/१
62168,2161,3902,,,नाव्ययदिक्‌शब्दगोमहत्स्थूलमुष्टिपृथुवत्सेभ्यः ।,न ०/० अव्ययदिक्‌शब्दगोमहत्स्थूलमुष्टिपृथुवत्सेभ्यः ५/३
62169,2211,3903,,,निष्ठोपमानादन्यतरस्याम् ।,निष्ठोपमानात् ५/१ अन्यतरस्याम् ७/१
62170,1501,3904,,,जातिकालसुखादिभ्योऽनाच्छादनात्‌ क्तोऽकृतमितप्रतिपन्नाः । ,जातिकालसुखादिभ्यः ५/३ अनाच्छादनात् ५/१ क्तः १/१ अकृतमितप्रतिपन्नाः १/३
62171,3106,3905,,,वा जाते ।,वा ०/० जाते ७/१
62172,2097,3906,,,नञ्सुभ्याम् ।,नञ्सुभ्याम् ५/२
62173,976,3907,,,कपि पूर्वम् ।,कपि ७/१ पूर्वम् १/१
62174,3976,3908,,,ह्रस्वान्तेऽन्त्यात्‌ पूर्वम् ।,ह्रस्वान्ते ७/१ अन्त्यात् ५/१ पूर्वम् १/१
62175,2609,3909,,,बहोर्नञ्वदुत्तरपदभूम्नि ।,बहोः ५/१ नञ्वत् ०/० उत्तरपदभूम्नि ७/१
62176,2021,3910,,,न गुणादयोऽवयवाः ।,न ०/० गुणादयः १/३ अवयवाः १/३
62177,785,3911,,,उपसर्गात्‌ स्वाङ्गं ध्रुवमपर्शु ।,उपसर्गात् ५/१ स्वाङ्गम् १/१ ध्रुवम् १/१ अपर्शु १/१
62178,3056,3912,,,वनं समासे ।,वनम् १/१ समासे ७/१
62179,237,3913,,,अन्तः ।,अन्तः ०/०
62180,248,3914,,,अन्तश्च ।,अन्तः १/१ च ०/०
62181,2038,3915,,,न निविभ्याम् ।,न ०/० निविभ्याम् ५/२
62182,2324,3916,,,परेरभितोभाविमण्डलम् ।,परेः ५/१ अभितोभावि १/१ मण्डलम् १/१
62183,2542,3917,,,प्रादस्वाङ्गं संज्ञायाम् ।,प्रात् ५/१ अस्वाङ्गम् १/१ संज्ञायाम् ७/१
62184,2197,3918,,,निरुदकादीनि च ।,निरुदकादीनि १/३ च ०/०
62185,316,3919,,,अभेर्मुखम् ।,अभेः ५/१ मुखम् १/१
62186,287,3920,,,अपाच्च ।,अपात् ५/१ च ०/०
62187,3850,3921,,,स्फिगपूतवीणाऽञ्जोऽध्वकुक्षिसीरनामनाम च ।,स्फिगपूतवीणाऽञ्जोध्वकुक्षिसीरनामनाम १/१ च ०/०
62188,157,3922,,,अधेरुपरिस्थम् ।,अधेः ५/१ उपरिस्थम् १/१
62189,232,3923,,,अनोरप्रधानकनीयसी ।,अनोः ५/१ अप्रधानकनीयसी १/२
62190,2393,3924,,,पुरुषश्चान्वादिष्टः ।,पुरुषः १/१ च ०/० अन्वादिष्टः १/१
62191,108,3925,,,अतेरकृत्पदे ।,अतेः ५/१ अकृत्पदे १/२
62192,2233,3926,,,नेरनिधाने ।,नेः ५/१ अनिधाने ७/१
62193,2471,3927,,,प्रतेरंश्वादयस्तत्पुरुषे ।,प्रतेः ५/१ अंश्वादयः १/३ तत्पुरुषे ७/१
62194,801,3928,,,उपाद् द्व्यजजिनमगौरादयः ।,उपात् ५/१ द्‍व्यजजिनम् १/१ अगौरादयः १/३
62195,3799,3929,,,सोरवक्षेपणे ।,सोः ५/१ अवक्षेपणे ७/१
62196,3251,3930,,,विभाषोत्पुच्छे ।,विभाषा १/१ उत्पुच्छे ७/१
62197,1963,3931,,,द्वित्रिभ्यां पाद्दन्मूर्धसु बहुव्रीहौ ।,द्वित्रिभ्याम् ५/२ पाद्दन्मूर्धसु ७/३ बहुव्रीहौ ७/१
62198,3573,3932,,,सक्थं चाक्रान्तात्‌ ।,सक्थम् १/१ च ०/० अक्रान्तात् ५/१
62199,2304,3933,,,परादिश्छन्दसि बहुलम् ।,परादिः १/१ छन्दसि ७/१ बहुलम् १/१
63001,368,958,,,अलुगुत्तरपदे ।,अलुक् १/१ उत्तरपदे ७/१
63002,2264,959,,,पञ्चम्याः स्तोकादिभ्यः ।,पञ्चम्याः ६/१ स्तोकादिभ्यः ५/३
63003,931,960,,,ओजःसहोऽम्भस्तमसः तृतीयायाः ।,ओजःसहोम्भस्तमसः ५/१ तृतीयायाः ६/१
63004,2735,961,,,मनसः संज्ञायाम् ।,मनसः ५/१ संज्ञायाम् ७/१
63005,489,962,,,आज्ञायिनि च ।,आज्ञायिनि ७/१ च ०/०
63006,509,963,,,आत्मनश्च पूरणे ।,आत्मनः ५/१ च ०/० पूरणे ७/१
63007,3312,964,,,वैयाकरणाख्यायां चतुर्थ्याः ।,वैयाकरणाख्यायाम् ७/१ चतुर्थ्याः ६/१
63008,2302,965,,,परस्य च ।,परस्य ६/१ च ०/०
63009,3912,966,,,हलदन्तात्‌ सप्तम्याः संज्ञायाम् ।,हलदन्तात् ५/१ सप्तम्याः ६/१ संज्ञायाम् ७/१
63010,1054,968,,,कारनाम्नि च प्राचां हलादौ ।,कारनाम्नि ७/१ च ०/० प्राचाम् ६/३ हलादौ ७/१
63011,2729,969,,,मध्याद्गुरौ ।,मध्यात् ५/१ गुरौ ७/१
63012,331,970,,,अमूर्धमस्तकात्‌ स्वाङ्गादकामे ।,अमूर्धमस्तकात् ५/१ स्वाङ्गात् ५/१ अकामे ७/१
63013,2579,971,,,बन्धे च विभाषा ।,बन्धे ७/१ च ०/० विभाषा १/१
63014,1604,972,,,तत्पुरुषे कृति बहुलम् ।,तत्पुरुषे ७/१ कृति ७/१ बहुलम् १/१
63015,2547,973,,,प्रावृट्शरत्कालदिवां जे ।,प्रावृट्शरत्कालदिवाम् ६/३ जे ७/१
63016,3222,974,,,विभाषा वर्षक्षरशरवरात्‌ ।,विभाषा १/१ वर्षक्षरशरवरात् ५/१
63017,1354,975,,,घकालतनेषु कालनाम्नः ।,घकालतनेषु ७/३ कालनाम्नः ५/१
63018,3366,976,,,शयवासवासिषु अकालात्‌ ।,शयवासवासिषु ७/३ अकालात् ५/१
63019,2231,977,,,नेन्सिद्धबध्नातिषु ।,न ०/० इन्सिद्धबध्नातिषु ७/३
63020,3839,978,,,स्थे च भाषायाम् ।,स्थे ७/१ च ०/० भाषायाम् ७/१
63021,3491,979,,,षष्ठ्या आक्रोशे ।,षष्ठ्या ६/१ आक्रोशे ७/१
63022,2387,980,,,पुत्रेऽन्यतरस्याम् ।,पुत्रे ७/१ अन्यतरस्याम् ७/१
63023,860,981,,,ऋतो विद्यायोनिसम्बन्धेभ्यः ।,ऋतः ५/१ विद्यायोनिसम्बन्धेभ्यः ५/३
63024,3237,982,,,विभाषा स्वसृपत्योः ।,विभाषा १/१ स्वसृपत्योः ७/२
63025,537,921,,,आनङ् ऋतो द्वंद्वे ।,आनङ् १/१ ऋतः ६/१ द्वन्द्वे ७/१
63026,1909,922,,,देवताद्वंद्वे च ।,देवताद्वन्द्वे ७/१ च ०/०
63027,680,923,,,ईदग्नेः सोमवरुणयोः ।,ईत् १/१ अग्नेः ६/१ सोमवरुणयोः ७/२
63028,652,925,,,इद्वृद्धौ ।,इत् १/१ वृद्धौ ७/१
63029,1871,926,,,दिवो द्यावा ।,दिवः ६/१ द्यावा १/१
63030,1866,927,,,दिवसश्च पृथिव्याम् ।,दिवसः १/१ च ०/० पृथिव्याम् ७/१
63031,825,928,,,उषासोषसः ।,उषासा १/१ उषसः ६/१
63032,2763,929,,,मातरपितरावुदीचाम् ।,मातरपितरौ १/२ उदीचाम् ६/३
63033,2371,3528,,,पितरामातरा च च्छन्दसि ।,पितरामातरा १/२ च ०/० छन्दसि ७/१
63034,3820,831,अतिदेशः,,स्त्रियाः पुंवद्भाषितपुंस्कादनूङ् समानाधिकरणे स्त्रियामपूरणीप्रियाऽऽदिषु । ,स्त्रियाः ६/१ पुंवत् ०/० भाषितपुंस्कादनूङ् (लुप्तषष्ठीकम्) समानाधिकरणे ७/१ स्त्रियाम् ७/१ अपूरणीप्रियाऽऽदिषु ७/३
63035,1679,836,अतिदेशः,,तसिलादिषु आकृत्वसुचः ।,तसिलादिषु ७/३ आ ०/० कृत्वसुचः ५/१
63036,1193,837,अतिदेशः,,क्यङ्मानिनोश्च ।,क्यङ्मानिनोः ७/२ च ०/०
63037,2015,838,अतिदेशः,,न कोपधायाः ।,न ०/० कोपधायाः ६/१
63038,3527,839,अतिदेशः,,संज्ञापूरण्योश्च ।,संज्ञापूरण्योः ६/२ च ०/०
63039,3287,840,अतिदेशः,,वृद्धिनिमित्तस्य च तद्धितस्यारक्तविकारे ।,वृद्धिनिमित्तस्य ६/१ च ०/० तद्धितस्य ६/१ अरक्तविकारे ७/१
63040,3883,841,अतिदेशः,,स्वाङ्गाच्चेतोऽमानिनि ।,स्वाङ्गात् ५/१ च ०/० ईतः ६/१ अमानिनि
63041,1506,842,अतिदेशः,,जातेश्च ।,जातेः ६/१ च ०/०
63042,2379,746,अतिदेशः,,पुंवत्‌ कर्मधारयजातीयदेशीयेषु ।,पुंवत् ०/० कर्मधारयजातीयदेशीयेषु ७/३
63043,1360,985,,,घरूपकल्पचेलड्ब्रुवगोत्रमतहतेषु ङ्योऽनेकाचो ह्रस्वः । ,घरूपकल्पचेलड्ब्रुवगोत्रमतहतेषु ७/३ ङ्यः ६/१ अनेकाचः ६/१ ह्रस्वः १/१
63044,2106,986,,,नद्याः शेषस्यान्यतरस्याम् ।,नद्याः ६/१ शेषस्य ६/१ अन्यतरस्याम् ७/१
63045,697,987,,,उगितश्च ।,उगितः ५/१ च ०/०
63046,541,807,,,आन्महतः समानाधिकरणजातीययोः ।,आत् १/१ महतः ६/१ समानाधिकरणजातीययोः ७/२
63047,1984,808,,,द्व्यष्टनः संख्यायामबहुव्रीह्यशीत्योः ।,द्‍व्यष्टनः ६/१ संख्यायाम् ७/१ अबहुव्रीह्यशीत्योः ७/२
63048,1809,809,,,त्रेस्त्रयः ।,त्रेः ६/१ त्रयः १/१
63049,3196,810,,,विभाषा चत्वारिंशत्प्रभृतौ सर्वेषाम् ।,विभाषा १/१ चत्वारिंशत्प्रभृतौ ७/१ सर्वेषाम् ६/३
63050,3949,988,,,हृदयस्य हृल्लेखयदण्लासेषु ।,हृदयस्य ६/१ हृत् १/१ लेखयदण्लासेषु ७/३
63051,3121,989,,,वा शोकष्यञ्रोगेषु ।,वा ०/० शोकष्यञ्-रोगेषु ७/३
63052,2357,990,,,पादस्य पदाज्यातिगोपहतेषु ।,पादस्य ६/१ पद (लुप्तप्रथमान्तनिर्देशः) आज्यातिगोपहतेषु ७/३
63053,2293,991,,,पद् यत्यतदर्थे ।,पद् १/१ यति ७/१ अतदर्थे ७/१
63054,3941,992,,,हिमकाषिहतिषु च ।,हिमकाषिहतिषु ७/३ च ०/०
63055,847,993,,,ऋचः शे ।,ऋचः ६/१ शे ७/१
63056,3102,994,,,वा घोषमिश्रशब्देषु ।,वा ०/० घोषमिश्रशब्देषु ७/३
63057,724,995,,,उदकस्योदः संज्ञायाम् ।,उदकस्य ६/१ उदः १/१ संज्ञायाम् ७/१
63058,2438,996,,,पेषंवासवाहनधिषु च ।,पेषंवासवाहनधिषु ७/३ च ०/०
63059,887,997,,,एकहलादौ पूरयितव्येऽन्यतरस्याम् ।,एकहलादौ ७/१ पूरयितव्ये ७/१ अन्यतरस्याम् ७/१
63060,2745,998,,,मन्थौदनसक्तुबिन्दुवज्रभारहारवीवधगाहेषु च ।,मन्थौदनसक्तुबिन्दुवज्रभारहारवीवधगाहेषु ७/३ च ०/०
63061,598,999,,,इको ह्रस्वोऽङ्यो गालवस्य ।,इकः ६/१ ह्रस्वः १/१ अङ्यः ६/१ गालवस्य ६/१ 
63062,876,1000,,,एक तद्धिते च ।,एक (लुप्तषष्ठ्यन्तनिर्देशः) तद्धिते ७/१ च ०/० 
63063,1378,1001,,,ङ्यापोः संज्ञाछन्दसोर्बहुलम् ।,ङ्यापोः ६/२ संज्ञाछन्दसोः ७/२ बहुलम् १/१ 
63064,1814,1002,,,त्वे च ।,त्वे ७/१ च ०/० 
63065,665,1006,,,इष्टकेषीकामालानां चिततूलभारिषु ।,इष्टकेषीकामालानाम् ६/३ चिततूलभारिषु ७/३ 
63066,1256,2943,,,खित्यनव्ययस्य ।,खिति ७/१ अनव्ययस्य ६/१ 
63067,345,2942,,,अरुर्द्विषदजन्तस्य मुम् ।,अरुर्द्विषदजन्तस्य ६/१ मुम् १/१ 
63068,608,2994,अतिदेशः,,इच एकाचोऽम्प्रत्ययवच्च ।,इचः ६/१ एकाचः ६/१ अम् १/१ प्रत्ययवत् ०/० च ०/० 
63069,3137,2957,,,वाचंयमपुरंदरौ च ।,वाचंयमपुरंदरौ १/२ च ०/० 
63070,1056,1007,,,कारे सत्यागदस्य ।,कारे ७/१ सत्यागदस्य ६/१ 
63071,3445,1268,,,श्येनतिलस्य पाते ञे ।,श्येनतिलस्य ६/१ पाते ७/१ ञे ७/१ 
63072,2928,1008,,,रात्रेः कृति विभाषा ।,रात्रेः ६/१ कृति ७/१ विभाषा १/१ 
63073,2127,757,,,नलोपो नञः ।,नलोपः १/१ नञः ६/१ 
63074,1686,758,,,तस्मान्नुडचि ।,तस्मात् ५/१ नुट् १/१ अचि ७/१ 
63075,2119,759,,,नभ्राण्नपान्नवेदानासत्यानमुचिनकुलनखनपुंसकनक्षत्रनक्रनाकेषु प्रकृत्या ।,नभ्राण्नपान्नवेदानासत्यानमुचिनकुलनखनपुंसकनक्षत्रनक्रनाकेषु ७/३ प्रकृत्या ३/१ 
63076,894,811,,,एकादिश्चैकस्य चादुक् ।,एकादिः १/१ च ०/० एकस्य ६/१ च ०/० आदुक् १/१ 
63077,2090,760,,,नगोऽप्राणिष्वन्यतरस्याम् ।,नगः १/१ अप्राणिषु ७/३ अन्यतरस्याम् ७/१ 
63078,3701,1009,,,सहस्य सः संज्ञायाम् ।,सहस्य ६/१ सः १/१ संज्ञायाम् ७/१ 
63079,1336,1010,,,ग्रन्थान्ताधिके च ।,ग्रन्थान्ताधिके ७/१ च ०/० 
63080,1958,1011,,,द्वितीये चानुपाख्ये ।,द्वितीये ७/१ च ०/० अनुपाख्ये ७/१ 
63081,408,660,,,अव्ययीभावे चाकाले ।,अव्ययीभावे ७/१ च ०/० अकाले ७/१ 
63082,3317,849,,,वोपसर्जनस्य ।,वा ०/० उपसर्जनस्य ६/१ 
63083,2449,850,,,प्रकृत्याऽऽशिष्यगोवत्सहलेषु ।,प्रकृत्या ३/१ आशिषि ७/१ अगोवत्सहलेषु ७/३ 
63084,3635,1012,,,समानस्य छन्दस्यमूर्धप्रभृत्युदर्केषु ।,समानस्य ६/१ छन्दसि ७/१ अमूर्धप्रभृत्युदर्केषु ७/३ 
63085,1536,1013,,,ज्योतिर्जनपदरात्रिनाभिनामगोत्ररूपस्थानवर्णवयोवचनबन्धुषु ।,ज्योतिर्जनपदरात्रिनाभिनामगोत्ररूपस्थानवर्णवयोवचनबन्धुषु ७/३ 
63086,1396,1014,,,चरणे ब्रह्मचारिणि ।,चरणे ७/१ ब्रह्मचारिणि ७/१ 
63087,1743,1015,,,तीर्थे ये ।,तीर्थे ७/१ ये ७/१ 
63088,3252,1016,,,विभाषोदरे ।,विभाषा १/१ उदरे ७/१ 
63089,1900,1017,,,दृग्दृशवतुषु ।,दृग्दृशवतुषु ७/३ 
63090,638,1018,,,इदङ्किमोरीश्की ।,इदङ्किमोः ६/२ ईश्की (लुप्तप्रथमान्तनिर्देशः) 
63091,460,430,,,आ सर्वनाम्नः ।,आ (लुप्तप्रथमान्तनिर्देशः) सर्वनाम्नः ६/१ 
63092,3270,418,,,विष्वग्देवयोश्च टेरद्र्यञ्चतौ वप्रत्यये ।,विष्वग्देवयोः ६/२ च ०/० टेः ६/१ अद्रि (लुप्तप्रथमान्तनिर्देशः) अञ्चतौ ७/१ वप्रत्यये ७/१ 
63093,3621,421,,,समः समि ।,समः ६/१ समि (लुप्तप्रथमान्तनिर्देशः) 
63094,1734,423,,,तिरसस्तिर्यलोपे ।,तिरसः ६/१ तिरि (लुप्तप्रथमान्तनिर्देशः) अलोपे ७/१ 
63095,3702,422,,,सहस्य सध्रिः ।,सहस्य ६/१ सध्रिः १/१ 
63096,3587,3529,,,सध मादस्थयोश्छन्दसि ।,सध (लुप्तप्रथमान्तनिर्देशः) मादस्थयोः ७/२ छन्दसि ७/१ 
63097,1983,941,,,द्व्यन्तरुपसर्गेभ्योऽप ईत्‌ ।,द्‍व्यन्तरुपसर्गेभ्यः ६/३ अपः ६/१ ईत् १/१ 
63098,834,942,,,ऊदनोर्देशे ।,ऊत् १/१ अनोः ५/१ देशे ७/१ 
63099,423,1025,,,अषष्ठ्यतृतीयास्थस्यान्यस्य दुगाशिराशाऽऽस्थाऽऽस्थितोत्सुकोतिकारकरागच्छेषु । ,अषष्ठ्यतृतीयास्थस्य ६/१ अन्यस्य ६/१ दुक् १/१ आशीराशाऽऽस्थाऽऽस्थितोत्सुकोतिकारकरागच्छेषु ७/३ 
63100,352,1026,,,अर्थे विभाषा ।,अर्थे ७/१ विभाषा १/१ 
63101,1167,1027,,,कोः कत्‌ तत्पुरुषेऽचि ।,कोः ६/१ कत् १/१ तत्पुरुषे ७/१ अचि ७/१ 
63102,2905,1028,,,रथवदयोश्च ।,रथवदयोः ७/२ च ०/० 
63103,1767,1029,,,तृणे च जातौ ।,तृणे ७/१ च ०/० जातौ ७/१ 
63104,1045,1030,,,का पथ्यक्षयोः ।,का (लुप्तप्रथमान्तनिर्देशः) पथ्यक्षयोः ७/२ 
63105,692,1031,,,ईषदर्थे ।,ईषदर्थे ७/१ 
63106,3212,1032,,,विभाषा पुरुषे ।,विभाषा १/१ पुरुषे ७/१ 
63107,1037,1033,,,कवं चोष्णे ।,कवम् १/१ च ०/० उष्णे ७/१ 
63108,2277,3550,,,पथि च च्छन्दसि ।,पथि ७/१ च ०/० छन्दसि ७/१ 
63109,2437,1034,,,पृषोदरादीनि यथोपदिष्टम् ।,पृषोदरादीनि १/३ यथोपदिष्टम् ०/० 
63110,3520,238,,,संख्याविसायपूर्वस्याह्नस्याहन्नन्यतरस्यां ङौ ।,संख्याविसायपूर्वस्य ६/१ अह्नस्य ६/१ अहन् १/१ अन्यतरस्याम् ७/१ ङौ ७/१ 
63111,1577,174,,,ढ्रलोपे पूर्वस्य दीर्घोऽणः ।,ढ्रलोपे ७/१ पूर्वस्य ६/१ दीर्घः १/१ अणः ६/१ 
63112,3704,2357,,,सहिवहोरोदवर्णस्य ।,सहिवहोः ६/२ ओत् १/१ अवर्णस्य ६/१ 
63113,3713,3531,,,साढ्यै साढ्वा साढेति निगमे ।,साढ्यै ०/० साढ्वा ०/० साढा १/१ इति ०/० निगमे ७/१ 
63114,3570,1035,अधिकारः,,संहितायाम् ।,संहितायाम् ७/१ 
63115,990,1036,,,कर्णे लक्षणस्याविष्टाष्टपञ्चमणिभिन्नछिन्नछिद्रस्रुवस्वस्तिकस्य ।,कर्णे ७/१ लक्षणस्य ६/१ अविष्टाष्टपञ्चमणिभिन्नछिन्नछिद्रस्रुवस्वस्तिकस्य ६/१ 
63116,2137,1037,,,नहिवृतिवृषिव्यधिरुचिसहितनिषु क्वौ ।,नहिवृतिवृषिव्यधिरुचिसहितनिषु ७/३ क्वौ ७/१ 
63117,3057,1038,,,वनगिर्योः संज्ञायां कोटरकिंशुलकादीनाम् ।,वनगिर्योः ७/२ संज्ञायाम् ७/१ कोटरकिंशुलकादीनाम् ६/३ 
63118,3084,1040,,,वले ।,वले ७/१ 
63119,2720,1041,,,मतौ बह्वचोऽनजिरादीनाम् ।,मतौ ७/१ बह्वचः ६/१ अनजिरादीनाम् ६/३ 
63120,3368,1042,,,शरादीनां च ।,शरादीनाम् ६/३ च ०/० 
63121,593,1043,,,इकः वहे अपीलोः ।,इकः ६/१ वहे ७/१ अपीलोः ६/१ 
63122,778,1044,,,उपसर्गस्य घञ्यमनुष्ये बहुलम् ।,उपसर्गस्य ६/१ घञि ७/१ अमनुष्ये ७/१ बहुलम् १/१ 
63123,592,1045,,,इकः काशे ।,इकः ६/१ काशे ७/१ 
63124,1840,3079,,,दस्ति ।,दः ६/१ ति ७/१ 
63125,425,1046,,,अष्टनः संज्ञायाम् ।,अष्टनः ६/१ संज्ञायाम् ७/१ 
63126,1445,3532,,,छन्दसि च ।,छन्दसि ७/१ च ०/० 
63127,1417,1047,,,चितेः कपि ।,चितेः ६/१ कपि ७/१ 
63128,3267,379,,,विश्वस्य वसुराटोः ।,विश्वस्य ६/१ वसुराटोः ७/२
63129,2124,1048,,,नरे संज्ञायाम् ।,नरे ७/१ संज्ञायाम् ७/१ 
63130,2779,1049,,,मित्रे चर्षौ ।,मित्रे ७/१ च ०/० ऋषौ ७/१ 
63131,2743,3533,,,मन्त्रे सोमाश्वेन्द्रियविश्वदेव्यस्य मतौ ।,मन्त्रे ७/१ सोमाश्वेन्द्रियविश्वदेव्यस्य ६/१ मतौ ७/१ 
63132,946,3534,,,ओषधेश्च विभक्तावप्रथमायाम् ।,ओषधेः ६/१ च ०/० विभक्तौ ७/१ अप्रथमायाम् ७/१ 
63133,848,3535,,,ऋचि तुनुघमक्षुतङ्कुत्रोरुष्याणाम् ।,ऋचि ७/१ तुनुघमक्षुतङ्कुत्रोरुष्याणाम् ६/३ 
63134,594,3536,,,इकः सुञि ।,इकः ६/१ सुञि ७/१ 
63135,1980,3537,,,द्व्यचोऽतस्तिङः ।,द्‍व्यचः ६/१ अतः ६/१ तिङः ६/१ 
63136,2191,3538,,,निपातस्य च ।,निपातस्य ६/१ च ०/० 
63137,265,3539,,,अन्येषामपि दृश्यते ।,अन्येषाम् ६/३ अपि ०/० दृश्यते (क्रियापदम्) 
63138,1432,417,,,चौ ।,चौ ७/१ 
63139,3661,1004,,,सम्प्रसारणस्य ।,सम्प्रसारणस्य ६/१ 
64001,35,200,अधिकारः,,अङ्गस्य ।,अङ्गस्य ६/१ 
64002,3910,2559,,,हलः ।,हलः ५/१ 
64003,2157,209,,,नामि ।,नामि ७/१ 
64004,2027,300,,,न तिसृचतसृ ।,न ०/० तिसृचतसृ (लुप्तषष्ठ्यन्तनिर्देशः) 
64005,1464,3540,,,छन्दस्युभयथा ।,छन्दसि ७/१ उभयथा ०/० 
64006,2222,283,,,नृ च ।,नृ (लुप्तषष्ठ्यन्तनिर्देशः) च ०/० 
64007,2244,370,,,नोपधायाः ।,न (अविभक्त्यन्तं पदम्) उपधायाः ६/१ 
64008,3681,250,,,सर्वनामस्थाने चासम्बुद्धौ ।,सर्वनामस्थाने ७/१ च ०/० असम्बुद्धौ ७/१ 
64009,3122,3541,,,वा षपूर्वस्य निगमे ।,वा ०/० षपूर्वस्य ६/१ निगमे ७/१ 
64010,3717,317,,,सान्तमहतः संयोगस्य ।,सान्त (लुप्तषष्ठ्यन्तनिर्देशः) महतः ६/१ संयोगस्य ६/१ 
64011,302,277,,,अप्तृन्तृच्स्वसृनप्तृनेष्टृत्वष्टृक्षत्तृहोतृपोतृप्रशास्तॄणाम् ।,अप्तृन्तृच्स्वसृनप्तृनेष्टृत्वष्टृक्षत्तृहोतृपोतॄप्रशास्तॄणाम् ६/३ 
64012,660,356,,,इन्हन्पूषार्यम्णां शौ ।,इन्हन्पूषार्यम्णाम् ६/३ शौ ७/१ 
64013,3801,357,,,सौ च ।,सौ ७/१ च ०/० 
